trainer_id	trainer_label	trainer_base	battle_index	role	battle_type	ai_flags	party_size	min_level	max_level	perfect_ivs	has_ev_spread	roster	ivs	evs	source	confidence
148	Pokemaniac Steve3	Pokemaniac Steve	3	route	Singles	Check Bad Move	3	36	36	FALSE	FALSE	Kadabra:36:UNK:NONE:Hardy:Miracle Eye,Reflect,Energy Ball,Recover|Forretress:36:UNK:NONE:Hardy:Natural Gift,Spikes,Payback,Explosion|Lickilicky:36:UNK:NONE:Hardy:Stomp,Disable,Slam,Rollout	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0|0	hzla_dynamic_calc_imp_1-3	Asserted
149	Pokemaniac Steve4	Pokemaniac Steve	4	route	Singles	Check Bad Move	3	36	36	FALSE	FALSE	Kadabra:36:UNK:NONE:Hardy:Miracle Eye,Reflect,Energy Ball,Recover|Forretress:36:UNK:NONE:Hardy:Natural Gift,Spikes,Payback,Explosion|Lickilicky:36:UNK:NONE:Hardy:Stomp,Disable,Slam,Rollout	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0|0	hzla_dynamic_calc_imp_1-3	Asserted
150	Pokemaniac Steve5	Pokemaniac Steve	5	route	Singles	Check Bad Move	3	36	36	FALSE	FALSE	Kadabra:36:UNK:NONE:Hardy:Miracle Eye,Reflect,Energy Ball,Recover|Forretress:36:UNK:NONE:Hardy:Natural Gift,Spikes,Payback,Explosion|Lickilicky:36:UNK:NONE:Hardy:Stomp,Disable,Slam,Rollout	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0|0	hzla_dynamic_calc_imp_1-3	Asserted
151	Swimmer M Luis	Swimmer M Luis	1	route	Singles	Check Bad Move	2	55	55	FALSE	FALSE	Bruxish:55:UNK:NONE:Hardy:Screech,Psychic Fangs,Wave Crash,Aqua Fang|Sharpedo:55:UNK:NONE:Hardy:Poison Fang,Crunch,Agility,Skull Bash	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
152	Swimmer M Dominik	Swimmer M Dominik	1	route	Singles	Check Bad Move	1	55	55	FALSE	FALSE	Inteleon:55:UNK:NONE:Hardy:U-turn,Liquidation,Soak,Rain Dance	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted
153	Swimmer M Douglas	Swimmer M Douglas	1	route	Singles	Check Bad Move	2	55	55	FALSE	FALSE	Grapploct:55:UNK:NONE:Hardy:Reversal,Superpower,Topsy-Turvy,Brutal Swing|Pelipper:55:UNK:NONE:Hardy:Roost,Tailwind,Hydro Pump,Hurricane	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
154	Swimmer M Darrin	Swimmer M Darrin	1	route	Singles	Check Bad Move	3	56	56	FALSE	FALSE	Poliwrath:56:UNK:NONE:Hardy:Double Slap,Dynamic Punch,Circle Throw,Jet Punch|Politoed:56:UNK:NONE:Hardy:Perish Song,Swagger,Bounce,Hyper Voice|Whiscash:56:UNK:NONE:Hardy:Earthquake,Muddy Water,Future Sight,Dragon Dance	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0|0	hzla_dynamic_calc_imp_1-3	Asserted
155	Camper Tony	Camper Tony	1	route	Singles	Check Bad Move	1	56	56	FALSE	FALSE	Rhydon:56:UNK:NONE:Hardy:Take Down,Stone Edge,Earthquake,Megahorn	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted
156	Swimmer M Jerome	Swimmer M Jerome	1	route	Singles	Check Bad Move	2	56	56	FALSE	FALSE	Golduck:56:UNK:NONE:Hardy:Psych Up,Nasty Plot,Hydro Pump,Wonder Room|Clefable:56:UNK:NONE:Hardy:Double Slap,Metronome,Teleport,Moonblast	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
157	Swimmer M Matthew	Swimmer M Matthew	1	route	Singles	Check Bad Move	2	56	56	FALSE	FALSE	Sharpedo:56:UNK:NONE:Hardy:Crunch,Agility,Skull Bash,Taunt|Sirfetch’d:56:UNK:NONE:Hardy:Brick Break,Swords Dance,Slam,Leaf Blade	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
158	Swimmer M David	Swimmer M David	1	route	Singles	Check Bad Move	2	56	56	FALSE	FALSE	Tentacruel:56:UNK:NONE:Hardy:Hex,Sludge Wave,Hydro Pump,Wring Out|Clodsire:56:UNK:NONE:Hardy:Sludge Wave,Megahorn,Toxic,Earthquake	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
159	Lvl -1 Kindler Spencer	Lvl -1 Kindler Spencer	1	route	Singles	Check Bad Move,Try To Faint,Check Viability,Smart Switching,Omniscient	6	-1	-2	TRUE	TRUE	Swampert:-2:Torrent:Rindo Berry:Careful:Knock Off,Earthquake,Flip Turn,Stealth Rock|Sunflora:-2:Chlorophyll:Life Orb:Timid:Seed Flare,Weather Ball,Earth Power,Sludge Bomb|Chandelure:-2:Shadow Tag:Choice Specs:Timid:Shadow Ball,Flamethrower,Energy Ball,Scorching Sands|Baxcalibur:-1:Thermal Exchange:Focus Sash:Jolly:Glaive Rush,Iron Head,Icicle Crash,Dragon Dance|Medicham:-1:Huge Power:Medichamite:Jolly:Close Combat,Rock Slide,Zen Headbutt,Bullet Punch|Medicham-Mega:-1:Huge Power:Medichamite:Jolly:Close Combat,Rock Slide,Zen Headbutt,Bullet Punch	31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp	252 hp,6 at,252 sd|6 hp,252 sa,252 sp|6 hp,252 sa,252 sp|6 hp,252 at,252 sp|6 hp,252 at,252 sp|6 hp,252 at,252 sp	hzla_dynamic_calc_imp_1-3	Asserted
160	Swimmer M Roland	Swimmer M Roland	1	route	Singles	Check Bad Move	1	66	66	FALSE	FALSE	Poliwrath:66:UNK:NONE:Hardy:Dynamic Punch,Circle Throw,Jet Punch,Surging Strikes	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted
161	Swimmer M Nolen	Swimmer M Nolen	1	route	Singles	Check Bad Move	1	60	60	FALSE	FALSE	Tentacruel:60:UNK:NONE:Hardy:Hex,Sludge Wave,Hydro Pump,Wring Out	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted
162	Swimmer M Stan	Swimmer M Stan	1	route	Singles	Check Bad Move	1	60	60	FALSE	FALSE	Dondozo:60:UNK:NONE:Hardy:Sleep Talk,Heavy Slam,Double-Edge,Wave Crash	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted
163	Swimmer M Barry	Swimmer M Barry	1	route	Singles	Check Bad Move	2	61	61	FALSE	FALSE	Floatzel:61:UNK:NONE:Hardy:Whirlpool,Aqua Tail,Hydro Pump,Wave Crash|Carracosta:61:UNK:NONE:Hardy:Rock Slide,Wave Crash,Rain Dance,Hydro Pump	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
164	Swimmer M Dean	Swimmer M Dean	1	route	Singles	Check Bad Move	3	59	59	FALSE	FALSE	Basculegion:59:UNK:NONE:Hardy:Waterfall,Head Smash,Shadow Ball,Spirit Shackle|Basculegion-F:59:UNK:NONE:Hardy:Waterfall,Head Smash,Shadow Ball,Spirit Shackle|Basculin:59:UNK:NONE:Hardy:Aqua Fang,Head Smash,Waterfall,Wave Crash	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0|0	hzla_dynamic_calc_imp_1-3	Asserted
165	Swimmer M Rodney	Swimmer M Rodney	1	route	Singles	Check Bad Move	2	65	65	FALSE	FALSE	Gyarados:65:UNK:NONE:Hardy:Hurricane,Rain Dance,Hyper Beam,Bounce|Eelektross:65:UNK:NONE:Hardy:Headbutt,Acid,Discharge,Thunderclap	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
166	Swimmer M Richard	Swimmer M Richard	1	route	Singles	Check Bad Move	2	68	68	FALSE	FALSE	Jellicent:68:UNK:NONE:Hardy:Rain Dance,Hex,Hydro Pump,Wring Out|Tauros-Paldea-Aqua:68:UNK:NONE:Hardy:Swagger,Thrash,Wave Crash,Close Combat	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
167	Swimmer M Herman	Swimmer M Herman	1	route	Singles	Check Bad Move	2	70	70	FALSE	FALSE	Palpitoad:70:UNK:NONE:Hardy:Flail,Echoed Voice,Hydro Pump,Hyper Voice|Cursola:70:UNK:NONE:Hardy:Power Gem,Night Shade,Grudge,Mirror Coat	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
168	Swimmer M Santiago	Swimmer M Santiago	1	route	Singles	Check Bad Move	2	65	65	FALSE	FALSE	Simipour:65:UNK:NONE:Hardy:Scald,Leer,Lick,Fury Swipes|Wigglytuff:65:UNK:NONE:Hardy:Covet,Alluring Voice,Moonblast,Lovely Kiss	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
169	Swimmer M Gilbert	Swimmer M Gilbert	1	route	Singles	Check Bad Move	2	70	70	FALSE	FALSE	Lapras:70:UNK:NONE:Hardy:Dragon Dance,Wish,Boomburst,Dragon Hammer|Hawlucha:70:UNK:NONE:Hardy:High Jump Kick,Sky Attack,Dual Wingbeat,Acrobatics	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
170	Swimmer M Franklin	Swimmer M Franklin	1	route	Singles	Check Bad Move	2	70	70	FALSE	FALSE	Walrein:70:UNK:NONE:Hardy:Snore,Snowscape,Blizzard,Ice Beam|Dewgong:70:UNK:NONE:Hardy:Dive,Aqua Tail,Safeguard,Snowscape	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
171	Swimmer M Kevin	Swimmer M Kevin	1	route	Singles	Check Bad Move	2	67	67	FALSE	FALSE	Crawdaunt:67:UNK:NONE:Hardy:Crunch,Crabhammer,Slash,Dragon Dance|Muk-Alola:67:UNK:NONE:Hardy:Acid Armor,Belch,Memento,Sucker Punch	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
172	Swimmer M Jack	Swimmer M Jack	1	route	Singles	Check Bad Move	1	74	74	FALSE	FALSE	Noctowl:74:UNK:NONE:Hardy:Roost,Moonblast,Synchronoise,Oblivion Wing	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted
173	Swimmer M Dudley	Swimmer M Dudley	1	route	Singles	Check Bad Move	3	33	33	FALSE	FALSE	Tentacool:33:UNK:NONE:Hardy:Sludge,Bubble Beam,Barrier,Poison Jab|Wingull:33:UNK:NONE:Hardy:Air Cutter,Pursuit,Aerial Ace,Roost|Tentacruel:33:UNK:NONE:Hardy:Sludge,Bubble Beam,Barrier,Poison Jab	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0|0	hzla_dynamic_calc_imp_1-3	Asserted
174	Swimmer M Chad	Swimmer M Chad	1	route	Singles	Check Bad Move	1	66	66	FALSE	FALSE	Tentacruel:66:UNK:NONE:Hardy:Hex,Sludge Wave,Hydro Pump,Wring Out	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted
175	Swimmer M Tony2	Swimmer M Tony	2	route	Singles	Check Bad Move	1	56	56	FALSE	FALSE	Rhydon:56:UNK:NONE:Hardy:Take Down,Stone Edge,Earthquake,Megahorn	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted
176	Swimmer M Tony3	Swimmer M Tony	3	route	Singles	Check Bad Move	1	56	56	FALSE	FALSE	Rhydon:56:UNK:NONE:Hardy:Take Down,Stone Edge,Earthquake,Megahorn	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted
177	Swimmer M Tony4	Swimmer M Tony	4	route	Singles	Check Bad Move	1	56	56	FALSE	FALSE	Rhydon:56:UNK:NONE:Hardy:Take Down,Stone Edge,Earthquake,Megahorn	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted
178	Swimmer M Tony5	Swimmer M Tony	5	route	Singles	Check Bad Move	1	56	56	FALSE	FALSE	Rhydon:56:UNK:NONE:Hardy:Take Down,Stone Edge,Earthquake,Megahorn	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted
179	Black Belt Takao	Black Belt Takao	1	route	Singles	Check Bad Move	2	17	17	TRUE	FALSE	Stufful:17:UNK:NONE:Hardy:Leer,Bide,Baby-Doll Eyes,Brutal Swing|Crabrawler:17:UNK:NONE:Hardy:Rock Smash,Leer,Pursuit,Bubble Beam	31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
180	Black Belt Hitoshi	Black Belt Hitoshi	1	route	Singles	Check Bad Move	2	72	72	FALSE	FALSE	Flamigo:72:UNK:NONE:Hardy:Mega Kick,Wide Guard,Throat Chop,Brave Bird|Falinks:72:UNK:NONE:Hardy:Lunge,Close Combat,Megahorn,Counter	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
181	Black Belt Kiyo	Black Belt Kiyo	1	route	Singles	Check Bad Move	2	70	70	FALSE	FALSE	Hariyama:70:UNK:NONE:Hardy:Endure,Close Combat,Reversal,Heavy Slam|Conkeldurr:70:UNK:NONE:Hardy:Hammer Arm,Stone Edge,Focus Punch,Superpower	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
182	Black Belt Koichi	Black Belt Koichi	1	route	Singles	Check Bad Move	2	55	55	FALSE	FALSE	Mienshao:55:UNK:NONE:Hardy:Jump Kick,U-turn,Wide Guard,Bounce|Gigalith:55:UNK:NONE:Hardy:Stealth Rock,Sandstorm,Stone Edge,Explosion	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
183	Black Belt Nob	Black Belt Nob	1	route	Singles	Check Bad Move	1	40	40	FALSE	FALSE	Machamp:40:UNK:NONE:Hardy:Vital Throw,Wake-Up Slap,Dual Chop,Submission	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted
184	Black Belt Nob2	Black Belt Nob	2	route	Singles	Check Bad Move	1	40	40	FALSE	FALSE	Machamp:40:UNK:NONE:Hardy:Vital Throw,Wake-Up Slap,Dual Chop,Submission	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted
185	Black Belt Nob3	Black Belt Nob	3	route	Singles	Check Bad Move	1	40	40	FALSE	FALSE	Machamp:40:UNK:NONE:Hardy:Vital Throw,Wake-Up Slap,Dual Chop,Submission	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted
186	Black Belt Nob4	Black Belt Nob	4	route	Singles	Check Bad Move	1	40	40	FALSE	FALSE	Machamp:40:UNK:NONE:Hardy:Vital Throw,Wake-Up Slap,Dual Chop,Submission	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted
187	Black Belt Nob5	Black Belt Nob	5	route	Singles	Check Bad Move	1	40	40	FALSE	FALSE	Machamp:40:UNK:NONE:Hardy:Vital Throw,Wake-Up Slap,Dual Chop,Submission	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted
188	Black Belt Yuji	Black Belt Yuji	1	route	Singles	Check Bad Move	2	26	26	FALSE	FALSE	Makuhita:26:UNK:NONE:Hardy:Whirlwind,Knock Off,Vital Throw,Belly Drum|Machoke:26:UNK:NONE:Hardy:Seismic Toss,Revenge,Knock Off,Vital Throw	12 hp,12 at,12 df,12 sa,12 sd,12 sp|12 hp,12 at,12 df,12 sa,12 sd,12 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
189	Lvl -1 Black Belt Daisuke	Lvl -1 Black Belt Daisuke	1	route	Singles	Check Bad Move,Try To Faint,Check Viability,Smart Switching,Omniscient	5	-1	-2	TRUE	TRUE	Granbull:-2:Intimidate:Expert Belt:Adamant:Play Rough,Ice Fang,Jaw Lock,Roar|Krookodile:-2:Intimidate:Focus Sash:Jolly:Earthquake,Knock Off,Stone Edge,Cut|Hitmontop:-1:Intimidate:Wide Lens:Jolly:Triple Axel,Triple Kick,Sucker Punch,Facade|Hitmonchan:-1:Iron Fist:Punching Glove:Adamant:Drain Punch,Fire Punch,Thunder Punch,Mach Punch|Hitmonlee:-1:Striker:Kicking Shoes:Jolly:High Jump Kick,Sucker Punch,Blaze Kick,Aqua Step	31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp|31 hp,31 at,31 df,31 sa,31 sd,31 sp	6 hp,252 at,252 sp|6 hp,252 at,252 sp|6 hp,252 at,252 sp|6 hp,252 at,252 sp|6 hp,252 at,252 sp	hzla_dynamic_calc_imp_1-3	Asserted
190	Black Belt Atsushi	Black Belt Atsushi	1	route	Singles	Check Bad Move	2	65	65	FALSE	FALSE	Throh:65:UNK:NONE:Hardy:Wide Guard,Superpower,Reversal,Bulk Up|Sawk:65:UNK:NONE:Hardy:Reversal,Bulk Up,Hammer Arm,Close Combat	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
191	Guitarist Kirk	Guitarist Kirk	1	route	Singles	Check Bad Move	2	27	27	FALSE	FALSE	Chimecho:27:UNK:NONE:Hardy:Psywave,Take Down,Extrasensory,Heal Bell|Alcremie:27:UNK:NONE:Hardy:Sweet Scent,Draining Kiss,Aromatherapy,Attract	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
192	Team Aqua Grunt Aqua Hideout7	Team Aqua Grunt Aqua Hideout	7	route	Singles	Check Bad Move	2	64	64	FALSE	FALSE	Toxapex:64:UNK:NONE:Hardy:Poison Jab,Venom Drench,Pin Missile,Liquidation|Spiritomb:64:UNK:NONE:Hardy:Extrasensory,Nasty Plot,Memento,Dark Pulse	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
193	Team Aqua Grunt Aqua Hideout8	Team Aqua Grunt Aqua Hideout	8	route	Singles	Check Bad Move	1	64	64	FALSE	FALSE	Liepard:64:UNK:NONE:Hardy:Night Slash,Snatch,Nasty Plot,Play Rough	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted
194	Guitarist Shawn	Guitarist Shawn	1	route	Singles	Check Bad Move	2	27	27	FALSE	FALSE	Aerodactyl:27:UNK:NONE:Hardy:Roar,Agility,Wing Attack,Ancient Power|Druddigon:27:UNK:NONE:Hardy:Scary Face,Dual Wingbeat,Dragon Rage,Crunch	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
195	Guitarist Fernando	Guitarist Fernando	1	route	Singles	Check Bad Move	2	56	56	FALSE	FALSE	Carbink:56:UNK:NONE:Hardy:Skill Swap,Power Gem,Stone Edge,Moonblast|Dustox:56:UNK:NONE:Hardy:Sludge Bomb,Bug Buzz,Detect,Quiver Dance	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
196	Guitarist Dalton	Guitarist Dalton	1	route	Singles	Check Bad Move	4	28	28	FALSE	FALSE	Swanna:28:UNK:NONE:Hardy:Feather Dance,Icy Wind,Aqua Ring,Air Slash|Vivillon:28:UNK:NONE:Hardy:Psybeam,Air Slash,Draining Kiss,Signal Beam|Heliolisk:28:UNK:NONE:Hardy:Quick Attack,Thunder,Charge,Parabolic Charge|Oinkologne:28:UNK:NONE:Hardy:Dig,Headbutt,Yawn,Take Down	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0|0|0	hzla_dynamic_calc_imp_1-3	Asserted
197	Guitarist Dalton2	Guitarist Dalton	2	route	Singles	Check Bad Move	4	28	28	FALSE	FALSE	Swanna:28:UNK:NONE:Hardy:Feather Dance,Icy Wind,Aqua Ring,Air Slash|Vivillon:28:UNK:NONE:Hardy:Psybeam,Air Slash,Draining Kiss,Signal Beam|Heliolisk:28:UNK:NONE:Hardy:Quick Attack,Thunder,Charge,Parabolic Charge|Oinkologne:28:UNK:NONE:Hardy:Dig,Headbutt,Yawn,Take Down	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0|0|0	hzla_dynamic_calc_imp_1-3	Asserted
198	Guitarist Dalton3	Guitarist Dalton	3	route	Singles	Check Bad Move	4	28	28	FALSE	FALSE	Swanna:28:UNK:NONE:Hardy:Feather Dance,Icy Wind,Aqua Ring,Air Slash|Vivillon:28:UNK:NONE:Hardy:Psybeam,Air Slash,Draining Kiss,Signal Beam|Heliolisk:28:UNK:NONE:Hardy:Quick Attack,Thunder,Charge,Parabolic Charge|Oinkologne:28:UNK:NONE:Hardy:Dig,Headbutt,Yawn,Take Down	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0|0|0	hzla_dynamic_calc_imp_1-3	Asserted
199	Guitarist Dalton4	Guitarist Dalton	4	route	Singles	Check Bad Move	4	28	28	FALSE	FALSE	Swanna:28:UNK:NONE:Hardy:Feather Dance,Icy Wind,Aqua Ring,Air Slash|Vivillon:28:UNK:NONE:Hardy:Psybeam,Air Slash,Draining Kiss,Signal Beam|Heliolisk:28:UNK:NONE:Hardy:Quick Attack,Thunder,Charge,Parabolic Charge|Oinkologne:28:UNK:NONE:Hardy:Dig,Headbutt,Yawn,Take Down	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0|0|0	hzla_dynamic_calc_imp_1-3	Asserted
200	Guitarist Dalton5	Guitarist Dalton	5	route	Singles	Check Bad Move	4	28	28	FALSE	FALSE	Swanna:28:UNK:NONE:Hardy:Feather Dance,Icy Wind,Aqua Ring,Air Slash|Vivillon:28:UNK:NONE:Hardy:Psybeam,Air Slash,Draining Kiss,Signal Beam|Heliolisk:28:UNK:NONE:Hardy:Quick Attack,Thunder,Charge,Parabolic Charge|Oinkologne:28:UNK:NONE:Hardy:Dig,Headbutt,Yawn,Take Down	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0|0|0	hzla_dynamic_calc_imp_1-3	Asserted
201	Kindler Cole	Kindler Cole	1	route	Singles	Check Bad Move	1	40	40	FALSE	FALSE	Magcargo:40:UNK:NONE:Hardy:Flame Burst,Power Gem,Lava Plume,Amnesia	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted
202	Kindler Jeff	Kindler Jeff	1	route	Singles	Check Bad Move	2	40	40	FALSE	FALSE	Sunflora:40:UNK:NONE:Hardy:Natural Gift,Solar Beam,Double-Edge,Sunny Day|Talonflame:40:UNK:NONE:Hardy:Roost,Aerial Ace,Flame Charge,Acrobatics	0 hp,0 at,0 df,0 sa,0 sd,0 sp|0 hp,0 at,0 df,0 sa,0 sd,0 sp	0|0	hzla_dynamic_calc_imp_1-3	Asserted
203	Kindler Axle	Kindler Axle	1	route	Singles	Check Bad Move	1	41	41	FALSE	FALSE	Flareon:41:UNK:NONE:Hardy:Scary Face,Smog,Lava Plume,Last Resort	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted
204	Kindler Jace	Kindler Jace	1	route	Singles	Check Bad Move	1	41	41	FALSE	FALSE	Rapidash:41:UNK:NONE:Hardy:Take Down,Inferno,Agility,Fire Blast	0 hp,0 at,0 df,0 sa,0 sd,0 sp	0	hzla_dynamic_calc_imp_1-3	Asserted
